LCBO_id,Price,Name,Description,Size,Alcohol,Madein_city,Madein_country,Brand,Sugar,Sweetness,Style1,Style2,Variety,Pic_src,Featured_wines,Recomm_foods
V413666,23.95,Château Les Remparts de Bel-Air KPM,,750,12.5,Bordeaux,France,Bonnet & Associes,3.0,,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/413666.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V647917,49.95,Château Lilian Ladouys,,750,13.5,,France,H. & O. Beyerman,3.0,,Fruity,Medium-bodied,Blend - Other,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V647024,53.0,Château Lilian Ladouys 2015,"This a very linear and refined red with currant and lemon aromas and flavors. Medium to full body, fine tannins and a bright finish. Shows focus and beauty. Elegant and long. Drink in 2020. Score - 92. (James Suckling, jamessuckling.com, Feb. 2, 2018)",750,14.0,Bordeaux,France,Dourthe Freres,5.0,XD - Extra Dry,Smooth,Full-bodied,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V550293,17.95,Château Loumelat Cuvée J.J. Lesgourgues 2015,"Produced by the team that makes Château Haut-Selves in the Graves, this wine is elegant, with a light touch of tannins and acidity. The wine offers spice from barrel aging as well as poised black fruit and acidity. Drink from 2021. Best Buy.  Score - 90. (Roger Voss, Wine Enthusiast, May 1, 2018)",750,12.9,Bordeaux,France,Maison Leda,4.0,XD - Extra Dry,Fruity,Medium-bodied,Bordeaux Red,https://www.lcbo.com/content/dam/lcbo/products/550293.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V659516,299.0,Château Lynch-Bages,,750,12.5,Bordeaux,France,Nath. Johnston & Fils,2.0,,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V699181,540.0,Château Lynch-Bages 2005,"Textbook, with mouthfilling and slightly gutsy black currant, fig and blackberry fruit flavors bound together by singed cedar, iron and tobacco notes. Features a tug of loam followed by a second wave of fruit through the finish. This is just starting to stretch out. Blind '01/'03/'05 Bordeaux retrospective (December 2017). Best from 2020 through 2040.  Score - 96. (James Molesworth, winespectator.com, 2018)",750,13.0,Bordeaux,France,L. D. Vins S.A.,,XD - Extra Dry,Firm,Full-bodied,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V578609,525.0,Château Lynch-Bages 2005,"Textbook, with mouthfilling and slightly gutsy black currant, fig and blackberry fruit flavors bound together by singed cedar, iron and tobacco notes. Features a tug of loam followed by a second wave of fruit through the finish. This is just starting to stretch out. Best from 2020 through 2040. 35,000 cases made.  Score - 96. (James Molesworth, winespectator.com, 2018)",750,12.5,Bordeaux,France,Duclot,,XD - Extra Dry,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V510453,289.0,Château Lynch-Bages 2005,"Currant, blackberry, cherry and hints of licorice. Full-bodied, with silky and refined tannins and a fresh finish. This is racy and pretty. Very refined. Very structured. Score - 92-94. (James Suckling, winespectator.com)",1500,13.0,Bordeaux,France,Nath. Johnston & Fils,,XD - Extra Dry,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V564385,105.0,Château Lynch-Bages 2006,"This may turn out to be the finest Lynch Bages made since the 2000. The vintages between 2000 and 2006 are certainly very good, but seemingly lighter-styled in addition to being more forward and soft. The seriously-endowed, dense ruby/purple-tinged 2006 reveals a classic nose of creme de cassis, roasted meats as well as herbs, licorice, and toasty oak. Fleshy, full-bodied, opulent, and well-endowed, it will be at its peak in 5-6 years, and should keep for 20 or more. Drink 2012-2027. Score - 91-93. (Robert Parker Jr., robertparker.com)",750,13.0,Bordeaux,France,Nath. Johnston & Fils,3.0,XD - Extra Dry,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V347567,149.85,Château Lynch-Bages 2012,"This has a very solid core of dark plum, crushed black currant and blackberry fruit, with lightly firm flesh and good drive through the finish, where alder and iron notes fill in. Shows excellent energy and depth, while harnessing the austere edge of the vintage. Best from 2018 through 2025. Score - 92. (James Molesworth, winespectator.com, March 31, 2015)",750,13.0,Bordeaux,France,Nath. Johnston & Fils,3.0,XD - Extra Dry,,,Bordeaux,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
